Obra,,,,,,,,,,,,,,,,,,,,O_Tipo de Obra ,O_Origen de Fondos,O_Empresa contratada,O_Referente Empresa contratada,O_Contraparte_IM,O_Referente_IM,O_Cantidad de personal en obra.,O_Contrato / licitación,O_Resolución,O_Expediente,O_Plazo previsto,O_Monto oferta ,O_Fecha oferta,O_Fecha_inicio Acta,O_Fecha_fin,O_Fecha de recepción provisoria,O_Fecha de recepción definitiva,O_Estado de la obra,O_% Avance del cuatrimestre en monto,O_Colectores_saneamiento_acumulado_m,O_% Avance m saneamiento acumulado /m totales,O_Colectores_pluviales_acumulado_m,O_% Avance m pluviales acumulado /m totales,O_Conexiones_acumulado_u,O_% Avance conexiones/ totales,O_Cámaras_acumulado_u,O_% Avance cámaras/ totales,O_Camaras 1_acumulado_u,O_% Avance cámaras 1 / totales,O_Impulsión_acumulado_m,O_% Avance Impulsión m/ m totales,O_Bocas de tormenta_ acumulado_u,O_% Avance Bocas Tormenta/ totales,O_Reguera_acumulado_u,O_Elementos SUDS_acumulado_u,O_Pozo de Bombeo % avance,O_Laminación_enterrada_% avance,O_Laminación_abierta_% avance,O_Reparaciones Boca de Tormenta acumulado,O_Reparaciones colector roto acumulado,O_Reparaciones conexión nueva acumulado,O_Reparaciones conexión rota acumulado,O_Reparaciones registro roto acumulado,O_Desobstrucción  colector acumulado,O_Desobstrucción  conexión acumulado,O_% Avance reparaciones ingreso /egresos ,O_% Avance desobstrucciones ingreso /egresos ,O_Comentarios
,P_No registro ,P_ Contrato/grupo,P_No_proyecto,P_Nombre del proyecto,P_Ubicación,P_Sistema ,P_Tipo de proyecto,P_ Mixto _Separativo_Unitario,P_Expediente ,P_Origen del proyecto,P_Realizador,P_Referente Realizador,P_Contraparte,P_Referente Contraparte,P_Costo de oficina,P_Fecha costo de oficina,P_Servicio de la  Division Saneamiento,P_Unidad ,P_Comentarios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIAI- Causeglia,,,,,,,,,,,,,,,,,,,,Nueva,Otros,POSSAMAI Construcciones Ltd,,PIAI,,,,,,,"32820326,45",01/11/2022,01/05/2021,20/12/2022,,,Sin acta de recepción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIAI Isla de Gaspar,,,,,,,,,,,,,,,,,,,,Nueva,Otros,CIEMSA,,PIAI,,,,,,,"1201134,36",01/11/2022,01/02/2018,20/12/2021,,,Finalizada,,201m,100%,,,2u,100%,1u,100%,,,,,,,,,,,,,,,,,,,,,
Camino Cibils Norte ( Apoyo Movilidad),,,,,,,,,,,,,,,,,,,,Nueva,Fondo Capital,IMPACTO S.A,Ing. Leandro Sanchez,MOVILIDAD,Ing.Lucas Rodriguez,,FFC 08/18,,,,17516556,,01/05/2019,,30/11/2021,,Finalizada,0,2255m,100%,1818m,100%,103u,100%,,,,,,,,,,,,,,,,,,,,,,,
Luis Alberto de Herrera  (Obra Fimm Grupo 008)Tramo2,,,,,,,,,,,,,,,,,,,,Nueva,Fimm Grupo 008,GRINOR- SACEEM,Ing. Alejandro Cajelli,Mantenimiento Vial,Ing. Isabel Fernández,,,,,,82334110,,,,08/12/2021,,Finalizada,,,,233m,100%,,,6u,100%,,,,,2u,100%,,,,100%,,,,,,,,,,,
Repavimentación Joaquin Suarez ( Apoyo Obras Viales),,,,,,,,,,,,,,,,,,,,Nueva,,GRINOR,,Construcciónes viales,,,,,,,910035,01/11/2022,01/08/2019,20/12/2019,,,Finalizada,,,,,,,,,,,,,,7u,100%,,,,,,,,,,,,,,,
PIAI – ASOCIACION CIVIL “LA ESPERANZA” 1º ETAPA,,,,,,,,,,,,,,,,,,,,Nueva,,CLEMER S.A.,,PIAI,,,,,,,"97235,21",01/11/2022,01/04/2015,22/12/2016,,,Finalizada,,,,,,2u,100%,,,,,,,,,,,,,,,,,,,,,,,
Piai Barrio Martori (La Paloma),,,,,,,,,,,,,,,,,,,,Nueva,Otros,CIEMSA,,PIAI,,,,,,,5272700,,01/12/2019,,26/01/2021,,Finalizada,,544m,100%,,,77u,100%,13u,100%,77u,100%,,,6u,100%,,,,,,,,,,,,,,,
PIAI Vecinal 28,,,,,,,,,,,,,,,,,,,,Nueva,Otros,BURESIL S.A,,PIAI,,,,,,,"31144173,76",01/11/2022,01/10/2019,,20/12/2021,,Finalizada,,"113,5m",100%,"68,62",100%,10u,100%,9u,100%,,,,,14u,100%,,,,,,,,,,,,,,,
Camino Cibils Sur ( Apoyo Movilidad),,,,,,,,,,,,,,,,,,,,Nueva,Fondo Capital,STILER S.A.,Ing. Alvaro Leez,MOVILIDAD,Ing.Lucas Rodriguez,,FFC 07/8,,,,"118107747,99",16/12/2022,26/11/2018,22/12/2021,,,Finalizada,,579m,100%,2958m,100%,23u,100%,79u,100%,,,,,79u,100%,,,,,,,,,,,,,,,
Grupo 34 Obras de Saneamiento y drenaje,,,,,,,,,,,,,,,,,,,,Nueva,Propios,LEJACIR,Ing. Leonardo Genta,SOS,Ing.Lucas Rodriguez,,LP N° 362777/1,5307/19,2019-9073-98-000066,9 meses,"39265724,4",02/09/2019,29/01/2020,,,,En Ejecución,,"3523,78m",100%,"212,12",100%,189u,100%,75u,100%,189u,100%,,,4u,100%,3u,,,,,,,,,,,,,,
Grupo 35 Obras de saneamiento,,,,,,,,,,,,,,,,,,,,Nueva,Propios,LEJACIR,Ing.Leonardo Genta,SOS,Ing. Lucas Rodriguez,,LP N° 362778/1,5306/19,2019-9073-98-000067,9 meses,,02/09/2019,12/03/2020,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plaza Laroca,,,,,,,,,,,,,,,,,,,,Nueva,,Doriler S.A,,Espacios Publicos,,,,,,,"1461104,03",01/11/2022,01/02/2020,20/12/2020,,,Finalizada,,,,,,,,1u,100%,,,,,2,100%,1u,,,,,,,,,,,,,,
Colector provisorio Escuela china,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,CLERC S.A,Ing. Martin Etcheverry,SOS,Ing. Sergio Portas,,,5413/19,2019-9073-98-000089,15 dias,870000,02/07/2019,,,,24/07/2020,Finalizada,,"126,90m",100%,,,2u,100%,2u,100%,,,,,,,,,,,,,,,,,,,,,
Repavimentación Solferino,,,,,,,,,,,,,,,,,,,,Nueva,,GRINOR,,,,,,,,,"105858,48",01/11/2022,01/10/2020,22/12/2020,,,Finalizada,,,,,,,,,,,,,,1u,100%,,,,,,,,,,,,,,,
Linea de impulsión de desagüe UAM (Colector provisorio),,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Espina,Ing.Santiago Belza,Ministerio de Agricultura,Ing. Lucas Rodriguez,,,,,,13716580,01/06/2020,01/02/2020,22/12/2020,,,Finalizada,,"373,7",100%,,,,,19u,100%,,,1907m,100%,,,,,,,,,,,,,,,,,
Canalización especial de desagüe Ruta 8,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,ZIKNOR S.A,Ing. Martín Majó,SOS,Ing. Emilio Coitinio,,,2103/20,2019-9073-98-000022,,486300,05/02/2019,15/06/2020,,01/06/2020,,Finalizada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colector provisorio Betete,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,ZIKNOR S.A,Ing. Martin Majo,SOS,Ing. Emilio Coitinio,,,2102/20,2019-9073-98-000121,1 mes,2060000,01/02/2019,08/07/2020,,01/07/2020,,Finalizada,,291m,100%,,,1u,100%,3u,100%,,,,,,,,,,,,,,,,,,,,,
Interferencias con saneamiento CCFC,,,,,,,,,,,,,,,,,,,,Nueva,,Gofinal - Insaco,,Ministerio de Transporte,,,,,,,,,,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavimentación calle Strasser (Coca-Cola),,,,,,,,,,,,,,,,,,,,Nueva,,GRINOR,,,,,,,,,"3339129,13",01/11/2022,01/12/2020,20/05/2021,,,Finalizada,,,,"241,6",100%,,,4u,100%,,,,,3u,100%,,,,,,,,,,,,,,,
Av Jacobo Varela (Antel Arena),,,,,,,,,,,,,,,,,,,,Nueva,,Teyma,,Construcciónes Viales,,,,,,,"2334987,61",01/11/2022,01/02/2020,22/12/2020,,,Finalizada,,"105,2m",100%,,,,,,,,,,,6u,100%,,,,,,,,,,,,,,,
Repavimentación Ramon Catriz,,,,,,,,,,,,,,,,,,,,Nueva,,GRINOR,,Movilidad,,,,3349/20,2020-4530-98-000115,,54041,01/11/2022,01/05/2020,01/09/2020,,,Finalizada,,,,,,,,1u,100%,,,,,,,,,,,,,,,,,,,,,
Colector provisorio San Nicolas,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Chedril SA,,SOS,,,,,,,"8079252,2",01/11/2022,01/07/2018,22/12/2022,,,Finalizada,,887m,100%,,,34u,100%,15u,100%,,,,,,,,,,,,,,,,,,,,,
Colector provisorio Bonaparte,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,LEJACIR,Ing. Leonardo Genta,SOS,ing. Emilio Coitinio,,,3936/20,2020-9073-98-000109,Cinco dias,190000,14/10/2020,14/12/2020,,23/12/2020,24/10/2021,Finalizada,,16m,100%,,,1u,100%,1u,100%,,,,,,,,,,,,,,,,,,,,,
Colector provisorio Instruciones,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,LEJACIR,Ing. Leonardo Genta,SOS,Ing. Emilio Coitinio,,,5555/19,2019-9073-98-000125,,230000,24/09/2019,18/01/2021,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canalización Tranvia ,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Agensol SA,Ing. Alejandro Olivera,SOS,Ing. Emilio Coitinio,,,6005/19,2018-9073-98-000121,Veinte días,1820000,16/05/2019,18/02/2021,,29/07/2021,03/02/2022,Finalizada,,192m,100%,,,1u,100%,7u,100%,,,,,,,,,,,,,,,,,,,,,
PIAI Lavalleja,,,,,,,,,,,,,,,,,,,,Nueva,Otros,POSSAMAI Construcciones Ltd,,PIAI,,,,,,,"4676818,77",01/11/2022,,24/01/2022,,,Finalizada,,365m,100%,37m,100%,26u,100%,,100%,,,,,2u,100%,,,,,,,,,,,,,,,
Canalización Especial de desague SAMAN,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,TAP Construcciónes,Ing. Ferderico Tapia,SOS,Ing. Emilio Coitinio,,,2894/20,2020-9073-98-000017,,350000,10/02/2020,05/04/2021,,08/12/2021,05/08/2022,Finalizada,,,,,,1u,100%,,,,,"49,5m",100%,,,,,,,,,,,,,,,,,
Canalización Especial de Desague Oncativo y Cepeda,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Ducelit S.A,Ing. Hector Hernandez,SOS,Ing. Emilio Coitinio,,,2511/21,2020-9073-98-000143,,740000,24/05/2021,14/10/2021,,18/11/2021,06/06/2022,Finalizada,,,,,,1u,100%,1u,100%,,,"203,4m",100%,,,,,,,,,,,,,,,,,
Colector provisorio Cementerio del Norte,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Ademar H. Soler,Ing. Marcelo Artagaveytia,SOS,Ing. Emilio Coitinio,,,3695/19,2019-9073-98-000093,,360000,24/06/2019,14/04/2021,,23/07/2021,02/05/2022,Finalizada,,"34,50m",100%,,,1u,100%,1u,100%,,,,,,,,,,,,,,,,,,,,,
Colector provisorio Syntex,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,LEJACIR,Ing. Leonardo Genta,SOS,Ing. Emilio Coitinio,,,4611/20,2020-9073-98-000122,,320000,16/11/2020,08/04/2021,,15/06/2021,,Finalizada,,"14,50m",100%,,,1u,100%,,100%,,,,,,,,,,,,,,,,,,,,,
Luis Alberto de Herrera Tramo 4 ( Sur),,,,,,,,,,,,,,,,,,,,Nueva,FA-FIMM 009,CIEMSA,Ing. Nicolas Mantiñan,Movilidad,Ing. Isabel Fernández,,,,,,3284040,01/01/2019,01/09/2019,,25/02/2021,,Finalizada,,,,"51,50m",100%,,,,100%,,,,,18u,100%,,1u,,,,,,,,,,,,,
Luis Alberto de Herrera  Tramo1 (Obra Fimm Grupo ),,,,,,,,,,,,,,,,,,,,Nueva,Fimm Grupo011,CIEMSA,,Movilidad,,,,,,,70086670,01/08/2020,,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canalización Especial de desague Centro de Primera Infancia N.º 24,,,,,,,,,,,,,,,,,,,,Nueva,ANEP,Ziknor,Ing. Martin Majo,SOS,Ing. Emilio Coitinio,,,1114/21,2020-9073-98-000085,,3840000,29/09/2020,16/04/2021,,21/09/2021,,Finalizada,,,,,,1u,100%,2u,100%,,,600m,100%,,,,,,,,,,,,,,,,,
Colector provisorio Magariño Cervantes y Miguel Martínez,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Insaco,Ing. Alberto Itte,SOS,Ing. Emilio Coitinio,,,2598/20,2021-9073-98-000036,,400000,06/05/2020,12/07/2021,,01/05/2022,,Finalizada,,"30,50m",100%,,,1u,100%,2u,100%,,,,,,,,,,,,,,,,,,,,,
Obras ANP (A° Seco),,,,,,,,,,,,,,,,,,,,Nueva,,SACEEM-CIEMSA,,Ministerio de Transporte,,,,,,,,,,,,,Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colector provisorio Centro de primera infancia (Cancha Villa Española),,,,,,,,,,,,,,,,,,,,Nueva,ANEP,CONAMI,Arq. Gustavo Marenco,SOS,Ing. Emilio Coitinio,,,3776/20,2018-9073-98-000158,,390000,17/12/2018,26/10/2020,,,,Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIERRAS Y HABITAB - CALLE PÚBLICA E ISLAS CANARIAS,,,,,,,,,,,,,,,,,,,,Nueva,,LEJACIR,Ing. Leonardo Genta,Tierras y Habitat,,,,,4149-001318-13,,5636778,01/02/2014,01/05/2015,22/12/2020,,,Finalizada,,140m,100%,,,4u,100%,,,,,,,,,,,,,,,,,,,,,,,
Plan Juntos Asentamiento (ANTEL),,,,,,,,,,,,,,,,,,,,Nueva,,Ministerio de Defensa,,Plan Juntos,,,,,2016-9073-98-000046,,"2622141,07",01/11/2022,01/09/2016,20/12/2020,,,Finalizada,,220m,100%,,,10u,100%,10u,100%,,,,,,,,,,,,,,,,,,,,,
Luis Alberto de Herrera Tramo N°3,,,,,,,,,,,,,,,,,,,,Nueva,Fimm Grupo009,GRINOR-SACEEM,Ing. Hector Machín,Mantenimiento Vial,Ing. Veronica Schera,,,,,,7267235,01/02/2019,,,20/04/2021,,Finalizada,,,,510m,100%,23,100%,11u,100%,,,,,5u,100%,,1u,100%,,,,,,,,,,,,
Colector provisorio Istec,,,,,,,,,,,,,,,,,,,,Nueva,Prpietario,LEJACIR,Ing. Leonardo Genta,SOS,Ing. Emilio Coitinio,,,5555/19,2019-9073-98-000125,,230000,24/09/2019,18/01/2021,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIAI Almeida Pintos,,,,,,,,,,,,,,,,,,,,Nueva,,RyK,,PIAI,,,,,,,"5092975,3",01/11/2022,01/02/2021,22/12/2020,,,Finalizada,,,,250m,100%,,,,,,,,,6u,100%,,,,,,,,,,,,,,,
Canalización Especial de desague Nicoll,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,Teyma,Ing. Gabriel Alsina,SOS,Ing. Emilio Coitinio,,,4427/20,2019-9073-98-000180,,440000,11/03/2020,06/10/2021,,27/10/2021,14/09/2022,Finalizada,,,,,,1u,100%,1u,100%,,,208m,100%,,,,,,,,,,,,,,,,,
Colector provisorio Luis Batlle Berres,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,CEI SRL,ing. Andres mussi,SOS,ing. Thomas Silberberg,,,2204/19,2019-9073-98-000005,,5730000,18/02/2019,,,08/09/2021,22/12/2022,Finalizada,,,,,,1u,100%,7u,100%,,,1986m,100%,,,,,,,,,,,,,,,,,
Colector Provisorio Divino (Jardines de Lluvia,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,LKSur S.A.,Ing. Diego Cauffman,SOS,Ing.Emilio Coitinio,,,3513/21,2020-9073-98-000005,,750000,30/07/2021,12/11/2021,,09/06/2022,26/09/2022,Finalizada,,,,,,,,,,,,,,,,,5u,100%,,,,,,,,,,,,
Colector Provisorio Rivera y Nariño,,,,,,,,,,,,,,,,,,,,Nueva,Propietario,SUNN S.R.L,,SOS,Ing. Emilio Coitinio,,,3402/21,2020-9073-98-000151,,330000,22/02/2021,28/10/2021,,,,En Ejecución,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
